Date,Price,Open,High,Low,Vol.,Change %
02-05-2019,14.617,14.69,14.735,14.57,84.55K,-0.76%
01-05-2019,14.729,14.975,14.985,14.62,64.59K,-1.70%
30-04-2019,14.984,14.94,15.04,14.835,85.72K,0.34%
29-04-2019,14.933,15.115,15.115,14.905,62.08K,0.09%
25-04-2019,14.92,14.92,15.015,14.86,78.21K,-0.24%
24-04-2019,14.956,14.82,14.995,14.78,68.61K,0.86%
23-04-2019,14.829,14.995,15.025,14.735,84.04K,-1.25%
22-04-2019,15.016,15.02,15.065,15,86.03K,0.25%
17-04-2019,14.979,15.005,15.095,14.965,59.16K,0.15%
16-04-2019,14.956,14.99,15.005,14.875,78.51K,-0.43%
15-04-2019,15.021,14.98,15.03,14.845,71.05K,0.74%
11-04-2019,14.911,15.25,15.255,14.9,70.74K,-2.48%
